report_id,company_name,environmental_score,social_score,governance_score,esg_score,preprocessed_content
hc-001,Aster Health,78,74,81,77.7,"Aster Health integrates environmental strategy into financial planning and maintains a transition plan with net zero targets, carbon reduction objectives, risk limits, escalation triggers, and board reporting lines tied to remuneration. The company reports taxonomy aligned green investment, supplier engagement on environmental risk mitigation, climate stress testing, data quality controls, and transmission channel analysis across credit risk, liquidity, market risk, operational risk, and reputational risk. Social strategy covers employee wellbeing, patient safety targets, supplier code enforcement, grievance channels, community investment, human rights oversight, and reporting frequency to management. Governance disclosures describe board oversight of non-financial reporting, ethics, transparency, conflict of interest management, internal communication, audit committee review, and internal control monitoring."
hc-002,Beacon Care,62,80,73,71.7,"Beacon Care references environmental targets and reduction objectives but has limited discussion of taxonomy aligned investment and only partial detail on climate risk methodology or escalation triggers. Its social strategy is strong with employee wellbeing, community engagement, customer safety, human rights monitoring, supplier code checks, and remuneration alignment to social objectives. Governance reporting includes sustainability committee review of non-financial reporting, ethics training, transparency updates, conflict management, whistleblowing, and risk management oversight."
hc-003,Crescent Pharma,55,58,69,60.7,"Crescent Pharma notes environmental objectives and some board oversight, but mitigation tools, liquidity impacts, taxonomy aligned activity, and counterparty engagement are brief. Social disclosures mention employee safety, customer trust, and periodic human rights reviews, while limits, escalation triggers, and transmission to major risk types remain modest. Governance sections are more detailed with board oversight, compliance, internal communication, transparency, conflict of interest management, and integration of governance performance in risk management arrangements."
hc-004,Delta Clinics,48,52,60,53.3,"Delta Clinics lists a few environmental reduction targets and a management committee but provides limited evidence about capital impact, market risk transmission, or supplier engagement. The report includes employee training, customer care commitments, community programs, and a grievance channel but minimal quantified social limits or standards. Governance coverage includes ethics policies, conflict of interest declarations, internal communication, and board review of non-financial reporting."
hc-005,Evergreen MedTech,84,68,76,76.0,"Evergreen MedTech embeds environmental factors in strategy and financial planning, with transition plan targets, EU taxonomy aligned investment, climate stress testing, data quality controls, supplier engagement, risk limits, escalation triggers, and capital and liquidity impact reporting. Social sections mention employee development, community partnerships, and human rights reviews, but fewer detailed limits or transmission channels are disclosed. Governance sections discuss board oversight, ethics, transparency, non-financial reporting, and internal controls with regular audit committee updates."
hc-006,Frontier Biologics,44,47,50,47.0,"Frontier Biologics provides general sustainability statements with a few objectives for emissions and safety. The report mentions employee wellbeing, ethics, and board oversight of reporting, but it lacks detailed methodologies, risk limits, escalation triggers, taxonomy alignment, and comprehensive transmission channel analysis."
hc-007,GreenPulse Health,72,70,79,73.7,"GreenPulse Health links environmental strategy to financial planning, discloses reduction targets, supplier engagement, board reporting frequency, remuneration alignment, data quality controls, and climate risk monitoring. It also details employee wellbeing, community impact, patient safety targets, human rights governance, grievance tools, and risk escalation procedures. Governance arrangements cover ethics, transparency, conflict management, internal communication, and board responsibility for non-financial reporting and risk oversight."
hc-008,Helix Hospitals,66,61,58,61.7,"Helix Hospitals reports environmental targets, management body responsibilities, and supplier engagement, but gives only partial detail on taxonomy aligned investment and risk transmission. Social topics include employee and customer commitments, community outreach, and some human rights reporting, with limited quantitative limits. Governance sections cover transparency and ethics but less detail on conflict management and integration into risk management arrangements."
hc-009,Ionis Care Group,58,76,71,68.3,"Ionis Care Group includes environmental objectives, a board committee, and climate monitoring, but it is lighter on market risk and capital impact analysis. Its social disclosures are stronger with employee wellbeing, customer safety, community investment, human rights governance, supplier expectations, risk methodologies, and escalation triggers. Governance content discusses ethics, inclusiveness, transparency, conflict of interest management, internal communication, and sustainability reporting oversight."
hc-010,Juniper Life Sciences,74,65,83,74.0,"Juniper Life Sciences describes environmental strategy integration, reduction targets, taxonomy aligned investment, supplier engagement, board oversight, and climate risk identification and monitoring, while some liquidity and funding impacts remain less explicit. Social content covers workforce development, community investment, customer wellbeing, supplier codes, and reporting lines. Governance disclosures are extensive: the highest governance body oversees non-financial reporting, ethics, transparency, inclusiveness, conflict of interest management, internal communication, and governance performance in risk management arrangements."
